121656574,froknowsphoto,friends,1728,64569,1305,28006,Wed Mar 10 05:15:58 +0000 2010,https://t.co/NYbzaFGkrn,img/121656574.png,
18162576,kaimanwong,friends,633,59925,1088,6040,Tue Dec 16 14:10:49 +0000 2008,https://t.co/Y3NVs3KRQW,img/18162576.jpg,United Kingdom
17229183,digitalrev,friends,431,75650,2078,10865,Fri Nov 07 10:18:40 +0000 2008,https://t.co/pVpQGYBEqO,img/17229183.jpg,Worldwide
15095331,lokcheung,friends,83,28143,388,3487,Thu Jun 12 10:31:41 +0000 2008,https://t.co/I2H4DbQAV1,img/15095331.jpg,Hong Kong
307364958,AlambyL,friends,270,19800,253,1208,Sun May 29 14:16:13 +0000 2011,https://t.co/Y4tdh3an02,img/307364958.jpg,Hong Kong | Melbourne
18570386,S_Eckert,friends,311,4929,71,14978,Sat Jan 03 02:07:23 +0000 2009,http://t.co/EVCCi9WcWf,img/18570386.jpg,Philadelphia  PA
22938914,stevewoz,friends,89,585601,9632,6097,Thu Mar 05 16:24:20 +0000 2009,http://t.co/gC1NnB1hgl,img/22938914.jpg,Los Gatos  California
3059524988,mwlii,friends,3,54,0,7,Tue Mar 03 09:01:27 +0000 2015,http://t.co/S5GbTzFo02,img/3059524988.jpg,India
58832014,srivastavakshat,friends,115,110,5,103,Tue Jul 21 15:53:27 +0000 2009,https://t.co/E7e8KTW54x,img/58832014.png,Cincinnati  OH
2696831,aaronsw,friends,543,18784,632,5734,Wed Mar 28 17:52:37 +0000 2007,http://t.co/NxVqerw0d6,img/2696831.png,New York  NY
3016726836,Inner_Chef,friends,312,1968,113,7454,Tue Feb 10 20:31:22 +0000 2015,https://t.co/5BkgypM7w3,img/3016726836.jpg,India
84351228,timberners_lee,friends,440,255495,10204,814,Thu Oct 22 15:29:47 +0000 2009,http://www.w3.org/People/Berners-Lee/,img/84351228.jpg,Boston
183749519,paulg,friends,266,946431,9004,10584,Fri Aug 27 20:13:59 +0000 2010,http://t.co/fDpOM1QB6e,img/183749519.jpg,
4519121,Oatmeal,friends,477,567971,17241,6804,Fri Apr 13 16:59:37 +0000 2007,https://t.co/hzHuiYtO6x,img/4519121.jpg,Seattle  Washington
39588492,JoeMcNallyPhoto,friends,1259,263859,6286,7655,Tue May 12 20:32:10 +0000 2009,https://t.co/tmw9FLTSLb,img/39588492.jpg,New York  NY
564919357,iamdevloper,friends,0,192311,3558,4160,Fri Apr 27 21:06:51 +0000 2012,http://t.co/Hcd0PBjb,img/564919357.jpg,Localhost
14231151,csswg,friends,58,28856,1113,1128,Thu Mar 27 00:00:38 +0000 2008,http://t.co/766KjgPQ8z,img/14231151.png,worldwide
63873759,ThePSF,friends,85,148302,3179,2673,Sat Aug 08 01:26:03 +0000 2009,http://t.co/KdOzhmst4U,img/63873759.png,Everywhere Python is!
191225303,djangoproject,friends,34,60877,1554,296,Wed Sep 15 22:33:40 +0000 2010,https://t.co/N4cpfoR9cx,img/191225303.png,Web
457033547,digitalocean,friends,1683,141035,2259,48609,Fri Jan 06 23:24:20 +0000 2012,http://t.co/6RdPUsbKE1,img/457033547.jpg,NYC
20536157,Google,friends,204,18330473,95629,72813,Tue Feb 10 19:14:39 +0000 2009,http://t.co/twxHxOtTvy,img/20536157.jpg,Mountain View  CA
74286565,Microsoft,friends,2274,8102261,20986,12727,Mon Sep 14 22:35:42 +0000 2009,http://t.co/iIrGzB9fzr,img/74286565.jpg,Redmond  WA
15670515,Windows,friends,1740,6101591,19302,247921,Thu Jul 31 03:43:16 +0000 2008,http://t.co/ytunfEM2E8,img/15670515.jpg,Redmond  Washington
783214,Twitter,friends,166,61182375,90659,5471,Tue Feb 20 14:35:54 +0000 2007,https://t.co/gN5JJwhQy7,img/783214.jpg,San Francisco  CA
223696297,codeconf,friends,31,1436,96,194,Tue Dec 07 02:40:12 +0000 2010,http://t.co/YyyAEETDtU,img/223696297.jpg,Los Angeles  CA 
